“lng”,”lat”
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.823100","33.297300"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.869300","33.262800"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.758500","33.221200"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.814000","33.234800"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
"-111.845300","33.310600"
