lng,lat
-12.150000,-77.016667
-12.150000,-77.016667
-12.150000,-77.016667
-12.150000,-77.016667
-12.150000,-77.016667
-12.150000,-77.016667
-12.150000,-77.016667
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.601346,-56.097926
-15.794157,-47.882529
-16.632731,-49.243600
-16.632731,-49.243600
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-20.501332,-54.605071
-22.913318,-43.200595
-22.913318,-43.200595
-31.953004,115.857469
-31.953004,115.857469
-31.953004,115.857469
-31.953004,115.857469
-31.953004,115.857469
-31.953004,115.857469
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-34.883611,-56.181944
-35.282000,149.128684
-37.787001,175.279253
-37.787001,175.279253
-37.787001,175.279253
-37.814107,144.963280
-37.814107,144.963280
-37.814107,144.963280
-37.814107,144.963280
-37.814107,144.963280
-37.814107,144.963280
-37.814107,144.963280
-37.814107,144.963280
-37.814107,144.963280
-37.814107,144.963280
-6.914864,107.608242
10.823099,106.629664
10.823099,106.629664
11.016845,76.955832
12.971599,77.594563
16.050000,120.333333
16.506174,80.648015
17.385044,78.486671
18.466667,-77.916667
19.041307,-98.206193
19.621111,-155.041667
19.621111,-155.041667
19.729722,-155.090000
21.306944,-157.858333
21.306944,-157.858333
21.385900,-157.930927
21.402222,-157.739444
21.402222,-157.739444
24.142641,-110.312753
25.271139,55.307485
25.271139,55.307485
25.788969,-80.226439
25.788969,-80.226439
25.788969,-80.226439
25.788969,-80.226439
25.901747,-97.497484
25.901747,-97.497484
25.901747,-97.497484
25.901747,-97.497484
25.901747,-97.497484
25.901747,-97.497484
26.011201,-80.149490
26.100365,-80.399775
26.122439,-80.137317
26.122439,-80.137317
26.122439,-80.137317
26.122439,-80.137317
26.132576,-97.631101
26.149798,-97.913611
26.149798,-97.913611
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
26.159519,-97.990837
