LNG,LAT
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
-73.3905,41.4801
